track_id,artist,album,track_name,duration_ms,track_genre
5SuOikwiRyPMVoIQDJUgSV,Gen Hoshino,Comedy,Comedy,230666,acoustic
6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,201933,acoustic
5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,198853,acoustic
1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,242946,acoustic
4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Episode,Give Me Your Forever,244800,acoustic
08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Pano,254400,acoustic
3TwtrR1yNLY1PMPsrGQpOp,Five For Fighting,America Town,Superman (It's Not Easy),221693,acoustic
6Uy6K3KdmUdAfelUp0SeXn,Sara Bareilles,The Blessed Unrest,Brave,220573,acoustic
38YgZVHPWOWsKrsCXz6JyP,Matt Nathanson,Some Mad Hope,Come On Get Higher,215173,acoustic
5p9XWUdvbUzmPCukOmwoU3,KT Tunstall,Eye To The Telescope,Suddenly I See,201706,acoustic
4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,Little Voice,Love Song,258826,acoustic
1dcNEEtODRVZEevQ20Cgmy,Zack Tabudlo,Nangangamba,Nangangamba,210354,acoustic
5MYPzdIWgx3pMLRGlq2fVq,Zack Tabudlo,Asan Ka Na Ba,Asan Ka Na Ba,241132,acoustic
7jIAttgQTpLDoNtykIQXjH,Violent Femmes,Violent Femmes,Blister In The Sun,145706,acoustic
1q8NdCAQ9QUjpYiqzdd3mv,Calle 13,Calle 13 (Explicit Version),Atrévete-Te-Te,239306,afrobeat
3kNVYo6BJE9AENxzokM9YC,Calle 13,Entren Los Que Quieran,Muerte En Hawaii,189866,afrobeat
1jlKdNbOA90rjnt88GJnwO,Calle 13,Entren Los Que Quieran,La Vuelta Al Mundo,234133,afrobeat
1TdaQqgKRbiFdO15q1kv6e,Los Amigos Invisibles,Repeat After Me,La Que Me Gusta,239626,afrobeat
5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Wiped Out!,Daddy Issues,260173,alt-rock
2Y0iGXY6m6immVb2ktbseM,MGMT,Little Dark Age,Little Dark Age,299960,alt-rock
2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,206280,alt-rock
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,240400,alt-rock
7zwn1eykZtZ5LODrf7c0tS,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,You Get Me So High,153000,alt-rock
4gHnSNHs8RyVukKoWdS99f,Nirvana,Nevermind (Remastered),Something In The Way,232146,alt-rock
0y1QJc3SJVPKJ1OvFmFqe6,KALEO,A/B,Way down We Go,213706,alt-rock
6rrKbzJGGDlSZgLphopS49,The Score,ATLAS,Unstoppable,192106,alt-rock
4CeeEOM32jQcH3eN9Q2dGj,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,301920,alt-rock
0AUyNF6iFxMNQsNx2nhtrw,grandson,Blood // Water,Blood // Water,216720,alt-rock
4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,TALKING IS HARD,Shut Up and Dance,199080,alt-rock
2xql0pid3EUwW38AsywxhV,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Reflections,244013,alt-rock
4m0q0xQ2BNl9SCAGKyfiGZ,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",Somebody Else,347525,alt-rock
70LcF31zb1H0PyJoS1Sx1r,Radiohead,Pablo Honey,Creep,238640,alt-rock
77loZpT5Y5PRP1S451P9Yz,Hoobastank,The Reason (15th Anniversary Deluxe),The Reason,232800,alt-rock
10nyNJ6zNy2YVYLrcwLccB,Radiohead,OK Computer,No Surprises,229120,alt-rock
3SWqGa1J0M7hSBUDM0KePD,The Score,ATLAS,Legend,189120,alt-rock
