track_id,artist,album,track_name,duration_ms,track_genre
5vjLSffimiIP26QG5WcN2K,Chord Overstreet,Hold On,Hold On,198853,acoustic
1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,242946,acoustic
5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Wiped Out!,Daddy Issues,260173,alt-rock
2Y0iGXY6m6immVb2ktbseM,MGMT,Little Dark Age,Little Dark Age,299960,alt-rock
2K7xn816oNHJZ0aVqdQsha,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Softcore,206280,alt-rock
2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,240400,alt-rock
7zwn1eykZtZ5LODrf7c0tS,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,You Get Me So High,153000,alt-rock
0y1QJc3SJVPKJ1OvFmFqe6,KALEO,A/B,Way down We Go,213706,alt-rock
4CeeEOM32jQcH3eN9Q2dGj,Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,301920,alt-rock
4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,TALKING IS HARD,Shut Up and Dance,199080,alt-rock
2xql0pid3EUwW38AsywxhV,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Reflections,244013,alt-rock
70LcF31zb1H0PyJoS1Sx1r,Radiohead,Pablo Honey,Creep,238640,alt-rock
77loZpT5Y5PRP1S451P9Yz,Hoobastank,The Reason (15th Anniversary Deluxe),The Reason,232800,alt-rock
10nyNJ6zNy2YVYLrcwLccB,Radiohead,OK Computer,No Surprises,229120,alt-rock
3dPQuX8Gs42Y7b454ybpMR,The White Stripes,Elephant,Seven Nation Army,232106,alt-rock
2u0CelO5c81XS7z3dGpHbS,The Neighbourhood,Wiped Out!,The Beach,255133,alt-rock
0uBdQzKghx88d2Lp8SLFKJ,The 1975,I'm In Love With You,I'm In Love With You,262623,alt-rock
48UPSzbZjgc449aqz8bxox,Red Hot Chili Peppers,Californication (Deluxe Edition),Californication,329733,alt-rock
003vvx7Niy0yvhvHt4a68B,The Killers,Hot Fuss,Mr. Brightside,222973,alt-rock
2RsAajgo0g7bMCHxwH3Sk0,Nirvana,Nevermind (Remastered),Come As You Are,218920,alt-rock
2aibwv5hGXSgw7Yru8IYTO,Red Hot Chili Peppers,Stadium Arcadium,Snow (Hey Oh),334666,alt-rock
0GO8y8jQk1PkHzS31d699N,Grouplove,Never Trust a Happy Song,Tongue Tied,218013,alt-rock
